markers	cell
AQP4	ast
ALDH1L1	ast
BMPR1B	ast
SLC14A1	ast
MLC1	ast
FGFR3	ast
SLC25A18	ast
GLI3	ast
GFAP	ast
ACSBG1	ast
SLC4A4	ast
GJA1	ast
GJB6	ast
SLC39A12	ast
AGT	ast
CHRDL1	ast
SLC1A2	ast
CLDN10	ast
SOX9	ast
PPP1R3C	ast
CLU	ast
SLC7A10	ast
ID4	ast
DIO2	ast
SFXN5	ast
SLC6A11	ast
ATP13A4	ast
ACOT11	ast
SCARA3	ast
ALDOC	ast
PLCD4	ast
ATP1B2	ast
NTSR2	ast
RGS20	ast
ELOVL2	ast
PAX6	ast
ENTPD2	ast
NCAN	ast
KIAA1161	ast
ETNPPL	ast
PPAP2B	ast
LGR6	ast
GPAM	ast
NWD1	ast
F3	ast
TTPA	ast
CBS	ast
LIX1	ast
GRIN2C	ast
PHKG1	ast
SDC4	ast
ACSL6	ast
HGF	ast
KCNN3	ast
SLC1A3	ast
ADHFE1	ast
ARHGEF26	ast
CTH	ast
GLUD1	ast
ITGA7	ast
RANBP3L	ast
PRODH	ast
GPR37L1	ast
AIFM3	ast
LGR4	ast
CPE	ast
CHI3L1	ast
RFX4	ast
PSD2	ast
GLI2	ast
LHX2	ast
TTYH1	ast
GDPD2	ast
TLCD1	ast
PRDM16	ast
GRM3	ast
HTRA1	ast
FJX1	ast
GABRG1	ast
SLC15A2	ast
MT3	ast
TRIL	ast
RORB	ast
KIAA2012	ast
ABCD2	ast
CYP4F2	ast
PRDX6	ast
LRIG1	ast
MGST1	ast
LCAT	ast
GLIS3	ast
AASS	ast
PAMR1	ast
SCG3	ast
SORCS2	ast
GLDC	ast
SLC27A1	ast
NDRG2	ast
FAM198A	ast
BCAN	ast
EZR	ast
SLC13A5	ast
TRPS1	ast
MFGE8	ast
OTX1	ast
ADORA2B	ast
SLC30A10	ast
ATP1A2	ast
TST	ast
EDNRB	ast
LGI4	ast
SPARCL1	ast
EPHX2	ast
PPP1R3G	ast
FAM107A	ast
SLC1A4	ast
BTBD17	ast
STON2	ast
DTNA	ast
SLC7A2	ast
ENHO	ast
SLC7A11	ast
PHKA1	ast
C2ORF72	ast
KLF15	ast
AK4	ast
NKAIN4	ast
AHCYL1	ast
FADS2	ast
ACSS1	ast
PYGB	ast
TNC	ast
DDO	ast
DDAH1	ast
FGF2	ast
P4HA3	ast
WWC1	ast
EGFR	ast
TMEM47	ast
NADK2	ast
EMX2OS	ast
FZD2	ast
PBXIP1	ast
NDP	ast
GPC5	ast
PLA2G5	ast
RAVER2	ast
PHF21B	ast
PTCH1	ast
MAPK4	ast
SLC25A48	ast
SLC2A4	ast
FXYD1	ast
NTRK2	ast
PLA2G7	ast
GABRB1	ast
ITIH3	ast
RGMA	ast
BDH2	ast
MAOB	ast
RMST	ast
PALLD	ast
GRAMD1C	ast
PITPNC1	ast
APOE	ast
RNF182	ast
HEPH	ast
FREM2	ast
CAMK2G	ast
ERBB2	ast
MT1X	ast
GPC4	ast
PLXNB1	ast
POU3F2	ast
IGSF1	ast
AGL	ast
MMD2	ast
VAV3	ast
RPE65	ast
GREB1	ast
OAF	ast
MIR99AHG	ast
NAT8	ast
SOX2	ast
CACHD1	ast
TUBB2B	ast
IL33	ast
SELENBP1	ast
SYPL2	ast
MFAP3L	ast
SLC9A3R1	ast
GLI1	ast
TRPM3	ast
TULP3	ast
EFEMP1	ast
HIF3A	ast
MSI2	ast
PPIL6	ast
HEPACAM	ast
CADM1	ast
MRAS	ast
CYP7B1	ast
FMO1	ast
PGM1	ast
PPARA	ast
FGD6	ast
GCNT4	ast
SLC44A3	ast
SDC2	ast
BBOX1	ast
AQP9	ast
SCTR	ast
ABHD3	ast
AKT2	ast
PTPRF	ast
RDH5	ast
UGP2	ast
MYH15	ast
SH3PXD2B	ast
APPL2	ast
HRSP12	ast
FMN2	ast
SEMA4B	ast
AMOT	ast
FGFR1	ast
CKB	ast
EMX2	ast
FAM184A	ast
IGDCC4	ast
MT1E	ast
FAM181B	ast
SLC25A34	ast
FAM20A	ast
CELSR1	ast
RFX2	ast
GPR19	ast
FABP7	ast
FGFRL1	ast
PREX2	ast
MRO	ast
DLG5	ast
DBX2	ast
PRKD1	ast
NTM	ast
INTU	ast
HSD17B6	ast
SLC2A10	ast
WNT7B	ast
TTLL8	ast
HOPX	ast
LRRC9	ast
KIRREL2	ast
LINC01314	ast
PLD2	ast
NPAS3	ast
PXMP2	ast
BMPR1A	ast
TNIK	ast
TRIM9	ast
IQCA1	ast
NIM1K	ast
HHIPL1	ast
FAM189A2	ast
SLC13A3	ast
NAPRT	ast
SEMA4A	ast
NQO1	ast
MACF1	ast
FADS1	ast
PIPOX	ast
SLC20A1	ast
RGR	ast
DNAI1	ast
PON2	ast
ALDH7A1	ast
NR2E1	ast
OR10AD1	ast
DDHD1	ast
NPHS1	ast
NPHP3	ast
FAM181A	ast
PAQR8	ast
FKBP10	ast
ECHDC2	ast
NOTCH2	ast
DTX1	ast
FARP1	ast
ADCYAP1R1	ast
FEZF2	ast
DHTKD1	ast
LPIN3	ast
PDE9A	ast
PPP1R1B	ast
SYCP2	ast
LRP4	ast
ARHGEF4	ast
RAB34	ast
RAPGEF3	ast
GRHL1	ast
CYP4F11	ast
PLIN5	ast
PRSS35	ast
HRH1	ast
SLCO1C1	ast
FAM171B	ast
KCNE5	ast
CIDEB	ast
BBS2	ast
ZNRF3	ast
PEX11A	ast
CDH20	ast
KCTD14	ast
SPATA17	ast
KLKB1	ast
RASA2	ast
S1PR1	ast
SLC14A2	ast
CCDC37	ast
EYA1	ast
EXD1	ast
C21ORF62	ast
GABRA2	ast
GRAMD3	ast
FAT1	ast
METTL11B	ast
CLYBL	ast
TSPAN7	ast
GYS1	ast
ASPG	ast
SERPINE2	ast
FAM167A	ast
SNTA1	ast
ZHX3	ast
EVC	ast
FBXO2	ast
DECR1	ast
CCDC80	ast
MSI1	ast
ALDH6A1	ast
CYBRD1	ast
FUT9	ast
HSDL2	ast
SKIDA1	ast
UCP3	ast
ARL6IP6	ast
FGFBP3	ast
TFAP2C	ast
PAQR7	ast
FICD	ast
GPR156	ast
DAG1	ast
ASAP2	ast
TMEM82	ast
SDS	ast
HHATL	ast
OPLAH	ast
FRMPD1	ast
DZIP1L	ast
CNTFR	ast
SASH1	ast
DCLK2	ast
AMT	ast
CHST10	ast
PPARGC1A	ast
SLC26A6	ast
NAAA	ast
IQUB	ast
ADD3	ast
TFCP2L1	ast
COL16A1	ast
GSTM1	ast
ZNF521	ast
VEGFA	ast
PACRG	ast
SPIRE1	ast
SLC41A1	ast
WASF3	ast
ECHDC3	ast
CRB1	ast
FAM163A	ast
DMP1	ast
WNT7A	ast
ARHGAP5	ast
ACSF2	ast
DDIT4L	ast
ACBD7	ast
ACOX2	ast
LFNG	ast
SLITRK2	ast
FAM213A	ast
GDF10	ast
RAB30	ast
PROCA1	ast
PFKM	ast
ZFYVE21	ast
PLOD2	ast
DOCK7	ast
C2ORF82	ast
HMGN3	ast
TMEM218	ast
MYOM3	ast
GNA14	ast
TMEM164	ast
AXDND1	ast
GJB2	ast
PTAR1	ast
TEKT5	ast
NEK8	ast
PARD3B	ast
MEGF10	ast
VNN1	ast
SLC25A33	ast
SYNE1	ast
RFX3	ast
SMO	ast
SMOX	ast
SUGCT	ast
DNAH7	ast
POLR3H	ast
NFIA	ast
CROT	ast
GRAMD4	ast
PER3	ast
NHSL1	ast
C4A	ast
SLC22A4	ast
CD38	ast
DNAH12	ast
VEPH1	ast
PMM1	ast
LSAMP	ast
KCNG4	ast
CBR3	ast
ACP6	ast
KIAA1210	ast
SALL2	ast
AXL	ast
MEIS2	ast
HIBCH	ast
SPATA3	ast
FUT10	ast
FIRRE	ast
LHCGR	ast
ETV4	ast
PAQR6	ast
ZBTB20	ast
DPY19L3	ast
CRB2	ast
CHPT1	ast
CSGALNACT1	ast
CDH2	ast
GABBR1	ast
PBX1	ast
BIRC7	ast
GLYCAM1	ast
NAV2	ast
SERHL2	ast
OAT	ast
EFHB	ast
CTNND2	ast
PTX3	ast
LRRC23	ast
SNCAIP	ast
LTBP1	ast
SOX21	ast
GSTM3	ast
DENND1A	ast
CERS1	ast
PTPN13	ast
IMPG2	ast
GPM6A	ast
GPR179	ast
PRSS56	ast
ASRGL1	ast
ST6GALNAC5	ast
TOX	ast
GLB1L	ast
POU3F4	ast
ENO1	ast
PNISR	ast
NR1D1	ast
NUDT12	ast
PLIN1	ast
FMO4	ast
SLCO1B3	ast
WDR49	ast
PLA2G3	ast
ATL2	ast
ALDH4A1	ast
WDR63	ast
ADCY2	ast
COLCA2	ast
WFS1	ast
VIT	ast
C9ORF116	ast
SEC14L2	ast
RLBP1	ast
PM20D1	ast
POU3F3	ast
ACSL3	ast
SFXN1	ast
PLCD1	ast
MYH6	ast
DPF3	ast
PTPRZ1	ast
ABCB9	ast
CECR2	ast
CYP2D6	ast
CA8	ast
KIFC3	ast
SFRP5	ast
SIX5	ast
ITSN1	ast
SOHLH2	ast
PCDHGA3	ast
SHPK	ast
LRRC8A	ast
SLC6A1	ast
NRCAM	ast
SPATA1	ast
NR2F1	ast
C20ORF96	ast
KCTD15	ast
DMD	ast
MTHFD1	ast
CSPG5	ast
LDHD	ast
ZIC5	ast
UGT1A3	ast
IGFBP2	ast
SYBU	ast
SLC39A11	ast
GLUL	ast
TMPRSS7	ast
TOM1L1	ast
RECQL5	ast
SORBS1	ast
HADHB	ast
RCN2	ast
SLC18B1	ast
CEP85L	ast
CCNL2	ast
FAM228A	ast
C20ORF173	ast
PDP2	ast
BAALC	ast
MGLL	ast
GPR143	ast
IFT27	ast
ARSJ	ast
PPP1R3D	ast
SRPX	ast
LGALS4	ast
TCTN1	ast
SARDH	ast
MTSS1L	ast
KLHDC7A	ast
KIAA1755	ast
DCHS2	ast
PAFAH2	ast
ODF3L1	ast
CDH10	ast
ELF5	ast
PRRX2	ast
RFTN2	ast
ELMO2	ast
MCUR1	ast
GGNBP1	ast
TPCN1	ast
TECTB	ast
MUT	ast
RPL17-C18ORF32	ast
PFKFB1	ast
PCDHGB5	ast
IMPA2	ast
TMEM129	ast
GPR87	ast
ACAA2	ast
TMEM229A	ast
CAPN2	ast
FZD7	ast
DOK7	ast
MAP3K19	ast
PHKB	ast
ATF7	ast
ASTN1	ast
DKK3	ast
AGPAT5	ast
GPRC5D	ast
MPP6	ast
ACKR4	ast
SYCP3	ast
HES5	ast
NR1H3	ast
POU2F1	ast
MTTP	ast
BBS10	ast
MBOAT2	ast
TMIE	ast
HPSE2	ast
MROH7	ast
TEKT1	ast
PHGDH	ast
IGDCC3	ast
SNORA20	ast
INHBB	ast
WBP2NL	ast
GAN	ast
ZNF438	ast
MOXD1	ast
SPON1	ast
EVC2	ast
FERMT2	ast
PSPH	ast
TMEM161B	ast
FAM227B	ast
MSMO1	ast
GCDH	ast
RNU6-261P	ast
SUMF2	ast
ODF3	ast
HOGA1	ast
TCF7L2	ast
ELOVL5	ast
MKS1	ast
EGF	ast
ZBTB7C	ast
DBT	ast
HS2ST1	ast
SLC25A21	ast
MTMR1	ast
AGBL2	ast
DOLK	ast
SESN3	ast
PARP3	ast
RASSF10	ast
ITM2C	ast
RETSAT	ast
ENKUR	ast
PAX4	ast
FAM83B	ast
CKAP5	ast
VANGL2	ast
GRTP1	ast
LENG8	ast
SON	ast
CCNO	ast
WIF1	ast
ABHD10	ast
CUBN	ast
NLN	ast
